Player,GP,MIN,PTS,FGM,FGA,FG%,3:00 PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,Plus Minus ,MSR,Contract Status,Euro Archetype Tag
Kyle Filipowski,1,29.8,32,12,17,0.706,3,7,0.429,5,8,0.625,0,6,6,5,2,0,1,8,5,16.14,Unknown,Euro Facilitator
Nae'Qwan Tomlin,1,27.2,30,12,16,0.75,3,7,0.429,3,4,0.75,3,2,5,2,1,2,0,9,4,16.155,Unknown,Unassigned
Kobe Bufkin,1,26.0,29,6,16,0.375,2,9,0.222,15,15,1.0,1,2,3,3,1,1,2,4,15,15.485,Unknown,Unassigned
Reed Sheppard,1,33.0,28,10,25,0.4,6,15,0.4,2,4,0.5,0,8,8,4,3,4,3,2,-4,14.05,Unknown,3&D Wing
Ronald Holland II,1,27.5,28,8,12,0.667,4,5,0.8,8,13,0.615,3,8,11,2,4,3,1,4,16,18.285,Unknown,Unassigned
RayJ Dennis,1,31.2,26,8,16,0.5,4,8,0.5,6,7,0.857,1,3,4,9,4,2,0,2,5,16.095,Unknown,3&D Wing
David Jones-Garcia,1,18.3,24,9,12,0.75,4,5,0.8,2,3,0.667,3,2,5,3,2,4,0,1,25,17.2,Unknown,3&D Wing
Kasparas Jakučionis,1,28.3,24,7,12,0.583,5,9,0.556,5,5,1.0,0,4,4,4,2,2,0,5,-11,15.96,Unknown,Euro Facilitator
Kyshawn George,1,31.6,24,10,18,0.556,3,9,0.3329999999999999,1,1,1.0,1,6,7,3,5,3,0,5,-16,15.025,Unknown,Unassigned
Quenton Jackson,1,25.8,24,8,10,0.8,1,1,1.0,7,7,1.0,0,0,0,3,2,2,0,4,-1,18.69,Unknown,Unassigned
Jordan Miller,1,34.3,23,7,18,0.389,2,7,0.286,7,9,0.778,4,7,11,2,3,2,1,5,1,14.43,Unknown,Stretch Big / Rim Protector
Rayan Rupert,1,22.9,23,5,8,0.625,2,3,0.667,11,11,1.0,3,6,9,4,4,2,0,2,22,18.355,Unknown,3&D Wing
A.J. Lawson,1,19.9,22,7,15,0.467,4,8,0.5,4,6,0.667,4,2,6,2,0,2,0,2,8,13.765,Unknown,3&D Wing
Cole Swider,1,30.0,22,6,10,0.6,6,9,0.667,4,6,0.667,3,7,10,1,2,0,0,4,14,16.37,Unknown,Unassigned
Drew Timme,1,29.5,22,10,13,0.769,1,3,0.3329999999999999,1,4,0.25,1,8,9,1,0,1,1,1,0,12.035,Unknown,Unassigned
Kennedy Chandler,1,22.4,22,7,14,0.5,1,3,0.3329999999999999,7,11,0.636,3,2,5,3,1,1,0,0,5,12.715,Unknown,Unassigned
Liam McNeeley,1,28.0,22,7,16,0.4379999999999999,3,6,0.5,5,5,1.0,5,7,12,6,3,0,0,1,9,16.44,Unknown,Unassigned
