Player,GP,MIN,PTS,FGM,FGA,FG%,3:00 PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,#ERROR!
Kyle Filipowski,1,29.8,32,12,17,70.6,3,7,42.9,5,8,62.5,0,6,6,5,2,0,1,8,5
Kobe Bufkin,1,26,29,6,16,37.5,2,9,22.2,15,15,100,1,2,3,3,1,1,2,4,15
Reed Sheppard,1,33,28,10,25,40,6,15,40,2,4,50,0,8,8,4,3,4,3,2,-4
Ronald Holland II,1,27.5,28,8,12,66.7,4,5,80,8,13,61.5,3,8,11,2,4,3,1,4,16
Nae'Qwan Tomlin,2,27.5,26,10.5,14,75,2.5,5,50,2.5,3.5,71.4,4,5,9,3,1.5,2,0.5,6.5,6
Kasparas Jakučionis,1,28.3,24,7,12,58.3,5,9,55.6,5,5,100,0,4,4,4,2,2,0,5,-11
Kyshawn George,1,31.6,24,10,18,55.6,3,9,33.3,1,1,100,1,6,7,3,5,3,0,5,-16
Quenton Jackson,1,25.8,24,8,10,80,1,1,100,7,7,100,0,0,0,3,2,2,0,4,-1
Jordan Miller,1,34.3,23,7,18,38.9,2,7,28.6,7,9,77.8,4,7,11,2,3,2,1,5,1
David Jones-Garcia,2,22.7,22.5,8.5,13.5,63,3.5,4,87.5,2,2.5,80,1.5,3.5,5,4,4,2,0,1.5,14
A.J. Lawson,1,19.9,22,7,15,46.7,4,8,50,4,6,66.7,4,2,6,2,0,2,0,2,8
Drew Timme,1,29.5,22,10,13,76.9,1,3,33.3,1,4,25,1,8,9,1,0,1,1,1,0
Kennedy Chandler,1,22.4,22,7,14,50,1,3,33.3,7,11,63.6,3,2,5,3,1,1,0,0,5
Terrence Shannon Jr.,2,29.8,22,7,16.5,42.4,3.5,11.5,30.4,4.5,5,90,1,5.5,6.5,6,1.5,1.5,0,2,9
Cole Swider,2,29.2,21.5,7,13.5,51.9,5,9,55.6,2.5,4.5,55.6,2,8,10,2.5,1.5,0.5,0,3.5,10
Cam Christie,1,34,21,6,12,50,3,9,33.3,6,8,75,2,4,6,2,3,2,0,3,4
Cody Williams,1,26.7,21,8,19,42.1,3,11,27.3,2,2,100,1,2,3,1,1,1,0,2,1
Javon Freeman-Liberty,2,28.3,21,5.5,12,45.8,1,3.5,28.6,9,11.5,78.3,0.5,2,2.5,1,2.5,1,0.5,2.5,-13
Walter Clayton Jr.,1,27.2,21,8,17,47.1,4,10,40,1,2,50,0,6,6,3,2,0,1,6,2
Cooper Flagg,2,31.4,20.5,7.5,21,35.7,1.5,7,21.4,4,7,57.1,0,5,5,2.5,1.5,1.5,0.5,1.5,-3
Chris Youngblood,2,23.9,20,7,11,63.6,4,6.5,61.5,2,3,66.7,2,1.5,3.5,1.5,2,1.5,0,1.5,31
KJ Simpson,2,29.4,20,7,15.5,45.2,3,8,37.5,3,4.5,66.7,1.5,3.5,5,4.5,3.5,2,0,3,-1
Chris Livingston,2,28.6,19.5,6.5,14,46.4,2.5,5.5,45.5,4,6.5,61.5,2,4,6,3.5,0,0,1,2.5,3
Devin Carter,2,26.7,19,6,13.5,44.4,2.5,5.5,45.5,4.5,6,75,0.5,5,5.5,2.5,2.5,2.5,0.5,3.5,8
Jacob Toppin,1,26.7,19,7,13,53.8,1,3,33.3,4,6,66.7,5,5,10,2,1,0,0,1,21
Jaylon Tyson,2,31.6,19,5.5,15,36.7,3,8,37.5,5,5.5,90.9,3,3,6,7.5,5,1,1.5,5.5,-2
Koby Brea,1,23.8,19,7,10,70,4,5,80,1,1,100,0,3,3,0,4,1,0,1,0
Tristan da Silva,1,28.2,19,8,15,53.3,2,6,33.3,1,2,50,1,6,7,5,3,0,1,4,-7
Caleb Love,2,26.4,18,7,18.5,37.8,3.5,8,43.8,0.5,1,50,0,3.5,3.5,1.5,2,0.5,0.5,2.5,7
Daniss Jenkins,1,21.5,18,7,11,63.6,3,5,60,1,1,100,0,3,3,3,1,1,2,1,19
Javonte Cooke,1,22.9,18,7,15,46.7,4,8,50,0,0,0,0,6,6,2,1,1,0,4,9
Jaylen Wells,2,25.3,18,5,13,38.5,2,6,33.3,6,6.5,92.3,1,4,5,3,2,1.5,0.5,4,-5
Liam McNeeley,2,29.1,18,5.5,13.5,40.7,3,7,42.9,4,4.5,88.9,3,5.5,8.5,4,1.5,0.5,0,1.5,3
M.J. Walker Jr.,1,18.3,18,6,9,66.7,6,9,66.7,0,0,0,1,2,3,1,1,0,0,3,10
Nique Clifford,2,26.6,18,6.5,12.5,52,2,3.5,57.1,3,5,60,1.5,6.5,8,4,3,1.5,0.5,4.5,5
