Player,GP,MIN,PTS,FGM,FGA,FG%,3:00 PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,Plus Minus,MSR,MSR %,AST/G,TOV/G,REB/G,STL/G,BLK/G,FTA/G,3PM/G,PF/G,Euro Archetype Tag
Kyle Filipowski,1,29.8,32,12,17,0.706,3,7,0.429,5,8,0.625,0,6,6,5,2,0,1,8,5,148.56,14.856,5,2,6,0,1,8,3,8,Euro Facilitator
Kobe Bufkin,1,26,29,6,16,0.375,2,9,0.222,15,15,1,1,2,3,3,1,1,2,4,15,151.597,15.1597,3,1,3,1,2,15,2,4,
Reed Sheppard,1,33,28,10,25,0.4,6,15,0.4,2,4,0.5,0,8,8,4,3,4,3,2,-4,152.3,15.23,4,3,8,4,3,4,6,2,3&D Wing
Ronald Holland II,1,27.5,28,8,12,0.667,4,5,0.8,8,13,0.615,3,8,11,2,4,3,1,4,16,159.582,15.9582,2,4,11,3,1,13,4,4,
Nae'Qwan Tomlin,2,27.5,26,10.5,14,0.75,2.5,5,0.5,2.5,3.5,0.714,4,5,9,3,1.5,2,0.5,6.5,6,130.964,13.0964,1.5,0.75,4.5,1,0.25,1.75,1.25,3.25,
Kasparas Jakučionis,1,28.3,24,7,12,0.583,5,9,0.556,5,5,1,0,4,4,4,2,2,0,5,-11,107.439,10.7439,4,2,4,2,0,5,5,5,Euro Facilitator
Kyshawn George,1,31.6,24,10,18,0.556,3,9,0.333,1,1,1,1,6,7,3,5,3,0,5,-16,113.489,11.3489,3,5,7,3,0,1,3,5,
Quenton Jackson,1,25.8,24,8,10,0.8,1,1,1,7,7,1,0,0,0,3,2,2,0,4,-1,96.6,9.66,3,2,0,2,0,7,1,4,
Jordan Miller,1,34.3,23,7,18,0.389,2,7,0.286,7,9,0.778,4,7,11,2,3,2,1,5,1,144.753,14.4753,2,3,11,2,1,9,2,5,Stretch Big / Rim Protector
David Jones-Garcia,2,22.7,22.5,8.5,13.5,0.63,3.5,4,0.875,2,2.5,0.8,1.5,3.5,5,4,4,2,0,1.5,14,117.005,11.7005,2,2,2.5,1,0,1.25,1.75,0.75,3&D Wing
A.J. Lawson,1,19.9,22,7,15,0.467,4,8,0.5,4,6,0.667,4,2,6,2,0,2,0,2,8,113.534,11.3534,2,0,6,2,0,6,4,2,3&D Wing
Drew Timme,1,29.5,22,10,13,0.769,1,3,0.333,1,4,0.25,1,8,9,1,0,1,1,1,0,106.852,10.6852,1,0,9,1,1,4,1,1,
Kennedy Chandler,1,22.4,22,7,14,0.5,1,3,0.333,7,11,0.636,3,2,5,3,1,1,0,0,5,108.869,10.8869,3,1,5,1,0,11,1,0,
