Player,MSR,MIN,PTS,FGM,FGA,FG%,3PTM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,Plus Minus,AST/G,TOV/G,REB/G,STL/G,BLK/G,FTA/G,3PM/G,PF/G,Euro Archetype Tag
Kyle Filipowski,13.1003,27.1,26.5,10.5,19,0.553,2,7.5,0.267,3.5,6,0.583,1,5,6,3,2.5,0,1,8,1,1.5,1.25,3,0,0.5,3,1,4,
Drew Timme,11.3922,30.5,26,11.5,18.5,0.622,1.5,5,0.3,1.5,3,0.5,1.5,5.5,7,2,1,1,0.5,2.5,-6,1,0.5,3.5,0.5,0.25,1.5,0.75,1.25,
Quenton Jackson,9.66,25.8,24,8,10,0.8,1,1,1,7,7,1,0,0,0,3,2,2,0,4,-1,3,2,0,2,0,7,1,4,
Reed Sheppard,11.9482,30.6,23,8,22,0.364,3.5,11,0.318,3.5,5,0.7,0,5.5,5.5,2.5,4.5,4,1.5,3,-15,1.25,2.25,2.75,2,0.75,2.5,1.75,1.5,3&D Wing
David Jones-Garcia,11.7005,22.7,22.5,8.5,13.5,0.63,3.5,4,0.875,2,2.5,0.8,1.5,3.5,5,4,4,2,0,1.5,14,2,2,2.5,1,0,1.25,1.75,0.75,3&D Wing
Jordan Miller,12.8355,33.2,22,7,15.5,0.452,2.5,7,0.357,5.5,6.5,0.846,2,4,6,2.5,3,1.5,0.5,4,4,1.25,1.5,3,0.75,0.25,3.25,1.25,2,
Patrick Baldwin Jr.,12.85,25.6,22,8,16,0.5,4,10,0.4,2,2,1,2,11,13,0,5,3,1,4,-2,0,5,13,3,1,2,4,4,Stretch Big / Rim Protector
Terrence Shannon Jr.,13.4428,29.8,22,7,16.5,0.424,3.5,11.5,0.304,4.5,5,0.9,1,5.5,6.5,6,1.5,1.5,0,2,9,3,0.75,3.25,0.75,0,2.5,1.75,1,
A.J. Lawson,11.4584,22.2,21.5,6,10,0.6,3,5,0.6,6.5,9.5,0.684,2,3.5,5.5,2.5,1,2,1,1.5,10,1.25,0.5,2.75,1,0.5,4.75,1.5,0.75,3&D Wing
Cody Williams,11.7354,31.3,21.5,8,18,0.444,2,8.5,0.235,3.5,4,0.875,1,4.5,5.5,2.5,2,2,0,4.5,-3,1.25,1,2.75,1,0,2,1,2.25,
Cole Swider,13.1831,29.2,21.5,7,13.5,0.519,5,9,0.556,2.5,4.5,0.556,2,8,10,2.5,1.5,0.5,0,3.5,10,1.25,0.75,5,0.25,0,2.25,2.5,1.75,
Kevin McCullar Jr.,9.9934,27.8,21.5,7.5,14.5,0.517,1,5,0.2,5.5,6,0.917,2,3,5,2,4.5,1.5,0,5.5,-14,1,2.25,2.5,0.75,0,3,0.5,2.75,
Ronald Holland II,13.3775,28,21.5,6.5,12,0.542,3,5.5,0.545,5.5,8,0.688,1.5,4.5,6,2.5,2.5,3,0.5,3.5,18,1.25,1.25,3,1.5,0.25,4,1.5,1.75,3&D Wing
Cam Christie,12.3562,33.4,21,6,13,0.462,3,7.5,0.4,6,7.5,0.8,1,3.5,4.5,2.5,3,1.5,0,1.5,7,1.25,1.5,2.25,0.75,0,3.75,1.5,0.75,
Javon Freeman-Liberty,9.2827,28.3,21,5.5,12,0.458,1,3.5,0.286,9,11.5,0.783,0.5,2,2.5,1,2.5,1,0.5,2.5,-13,0.5,1.25,1.25,0.5,0.25,5.75,0.5,1.25,
Nae'Qwan Tomlin,12.3172,26.4,21,8.3,12.7,0.658,2.7,5.3,0.5,1.7,2.3,0.714,3.3,4,7.3,4,2.3,2,0.7,5.3,12,1.333333333,0.7666666667,2.433333333,0.6666666667,0.2333333333,0.7666666667,0.9,1.766666667,
Walter Clayton Jr.,11.7571,27.2,21,8,17,0.471,4,10,0.4,1,2,0.5,0,6,6,3,2,0,1,6,2,3,2,6,0,1,2,4,6,Stretch Big / Rim Protector
Cooper Flagg,11.5542,31.4,20.5,7.5,21,0.357,1.5,7,0.214,4,7,0.571,0,5,5,2.5,1.5,1.5,0.5,1.5,-3,1.25,0.75,2.5,0.75,0.25,3.5,0.75,0.75,
Daniss Jenkins,11.5534,22.2,20.5,7,10.5,0.667,3,4.5,0.667,3.5,3.5,1,0,2.5,2.5,4.5,1,1.5,1.5,3,22,2.25,0.5,1.25,0.75,0.75,1.75,1.5,1.5,
Chris Livingston,10.8642,28.7,20,7,14,0.5,2,5.3,0.375,4,6,0.667,1.3,4,5.3,2.7,1.7,0.7,0.7,2.7,1,0.9,0.5666666667,1.766666667,0.2333333333,0.2333333333,2,0.6666666667,0.9,
Chris Youngblood,12.3818,23.9,20,7,11,0.636,4,6.5,0.615,2,3,0.667,2,1.5,3.5,1.5,2,1.5,0,1.5,31,0.75,1,1.75,0.75,0,1.5,2,0.75,
KJ Simpson,11.3894,29.4,20,7,15.5,0.452,3,8,0.375,3,4.5,0.667,1.5,3.5,5,4.5,3.5,2,0,3,-1,2.25,1.75,2.5,1,0,2.25,1.5,1.5,3&D Wing
Jaylon Tyson,12.5465,29.6,19.7,6.3,15.7,0.404,2.7,7.7,0.348,4.3,5.3,0.813,2.3,3.7,6,6.7,4,1.3,1.3,4.3,3,2.233333333,1.333333333,2,0.4333333333,0.4333333333,1.766666667,0.9,1.433333333,
Kobe Bufkin,12.8216,26.8,19.5,4.5,16.5,0.273,1,7,0.143,9.5,9.5,1,0.5,4,4.5,6,1,0.5,1,4,11,3,0.5,2.25,0.25,0.5,4.75,0.5,2,
Tre Johnson,9.5138,27.5,19.5,7,12,0.583,2.5,5.5,0.455,3,5,0.6,1,2,3,1.5,2.5,1,0,1.5,-1,0.75,1.25,1.5,0.5,0,2.5,1.25,0.75,
Cameron McGriff,11.1222,35.3,19,7,15,0.467,5,11,0.455,0,0,0,0,5,5,3,1,2,0,5,-3,3,1,5,2,0,0,5,5,
