Player,MSR,MIN,PTS,FGM,FGA,FG%,3PTM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,Plus Minus,European Archetype
Kyle Filipowski,14.4777,28.6,29.3,10.7,19,0.561,3,7.7,0.391,5,8,0.625,1.3,6.3,7.7,2.3,2.3,0.3,0.7,6,5,Euro Big
Ajay Mitchell,13.1596,27.3,20,6.3,12.3,0.514,1.3,3.7,0.364,6,7.3,0.818,1,5,6,4.3,4.7,1.7,0.7,3.3,19,Hyrbid Euro
Terrence Shannon Jr.,13.1108,29.3,22.7,6.7,14,0.476,3.3,8.7,0.385,6,6.3,0.947,0.7,5.3,6,5,3.3,1.7,0,2.3,8,Yet to be defined
Ronald Holland II,13.0964,29.6,21.7,6.3,12,0.528,2.3,5,0.467,6.7,8.7,0.769,1,5,6,2.3,4,4,0.3,4.3,10,Yet to be defined
David Jones-Garcia,13.0294,24.3,24.3,9,15.3,0.587,4,6.3,0.632,2.3,2.7,0.875,1,4.3,5.3,4,4,1.7,0,2.7,17,Hyrbid Euro
Kobe Bufkin,12.9687,26.8,21.3,5.7,16,0.354,2,7.3,0.273,8,8.3,0.96,0.3,4.7,5,5,3.7,1,1,5,7,Stretch Big / Rim Protector
Jaylon Tyson,12.5465,29.6,19.7,6.3,15.7,0.404,2.7,7.7,0.348,4.3,5.3,0.813,2.3,3.7,6,6.7,4,1.3,1.3,4.3,3,Stretch Big / Rim Protector
Jordan Miller,12.3635,32.2,21,7,14,0.5,2,5.7,0.353,5,5.7,0.882,1.7,4.7,6.3,2.3,3,1.7,0.3,3.3,6,Yet to be defined
Nae'Qwan Tomlin,12.2991,26.9,20.3,8,13.8,0.582,2.3,5.5,0.409,2,2.5,0.8,5,3.5,8.5,3.8,2.3,1.8,1,5,9,Stretch Big / Rim Protector
Cole Swider,12.2927,29.8,19.7,6.7,13.7,0.488,4.7,9.7,0.483,1.7,3,0.556,1.7,6.7,8.3,1.7,1.7,1.3,0,3,8,Yet to be defined
Drew Timme,12.2315,30.7,25.3,10.3,18.7,0.554,1,4.7,0.214,3.7,5.7,0.647,2.3,5.7,8,2.7,1.7,1,0.7,2.7,-4,Euro Big
Reed Sheppard,11.9482,30.6,23,8,22,0.364,3.5,11,0.318,3.5,5,0.7,0,5.5,5.5,2.5,4.5,4,1.5,3,-15,Yet to be defined
Walter Clayton Jr.,11.7571,27.2,21,8,17,0.471,4,10,0.4,1,2,0.5,0,6,6,3,2,0,1,6,2,Stretch Big / Rim Protector
VJ Edgecombe,11.6853,30.4,15,4,14,0.286,1,6,0.167,6,6,1,0,6,6,4,2,2,1,2,10,Euro Facilitator
Kyshawn George,11.5814,31.5,17,7,17,0.412,2,8.5,0.235,1,1.5,0.667,1.5,6.5,8,4.5,3.5,4,0,5,-4,Yet to be defined
Cooper Flagg,11.5542,31.4,20.5,7.5,21,0.357,1.5,7,0.214,4,7,0.571,0,5,5,2.5,1.5,1.5,0.5,1.5,-3,Glue Guy
Nique Clifford,11.5304,27,18.5,7,12,0.583,2.3,4.3,0.529,2.3,3.3,0.692,1,5.5,6.5,5,3,1.3,0.5,4,10,Yet to be defined
Baylor Scheierman,11.5227,28.9,13.3,5,16,0.313,2,9.3,0.214,1.3,1.7,0.8,0.7,4.7,5.3,7,1.7,2.7,0,3.3,11,Yet to be defined
Rob Dillingham,11.4744,29.3,17.3,6.5,16.5,0.394,1.5,4.5,0.333,2.8,3,0.917,1,2.8,3.8,6.5,4.3,1.8,0,2.5,9,Yet to be defined
Cody Williams,11.4401,31.5,19,7.3,16.3,0.446,2,7,0.286,2.5,3.3,0.769,0.5,3.8,4.3,2.8,2,2.3,0.5,2.8,5,Yet to be defined
Caleb Love,11.44,28.5,17.7,6.3,17.7,0.358,3.3,8,0.417,1.7,2.7,0.625,0.7,5.7,6.3,2.7,1.7,1,0.3,2.7,6,Yet to be defined
KJ Simpson,11.4188,27.9,19.3,6.7,14.7,0.455,2.7,7.3,0.364,3.3,4.3,0.769,1,2.7,3.7,5.3,2.7,1.7,0,2.3,7,Yet to be defined
Liam McNeeley,11.3825,29.1,18,5.5,13.5,0.407,3,7,0.429,4,4.5,0.889,3,5.5,8.5,4,1.5,0.5,0,1.5,3,Euro Facilitator
Cam Christie,11.372,32.2,16.7,5,12.3,0.405,2.3,6.7,0.35,4.3,5.7,0.765,0.7,4.3,5,3.7,2.3,1.7,0,1.3,8,Yet to be defined
Javon Freeman-Liberty,11.2851,29.5,20.8,6.3,13,0.481,1,3.5,0.286,7.3,9.3,0.784,1.5,3.8,5.3,2.8,2.8,1.3,0.3,2.8,0,Yet to be defined
A.J. Lawson,11.2679,23.7,20.7,5.7,10,0.567,2.7,4.7,0.571,6.7,9,0.741,1.3,4.7,6,2.3,1.7,1.3,1,1.3,8,3&D Wing
