Player,MSR,MIN,PTS,FGM,FGA,FG%,3PTM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,Plus/Minus,Euro Archetype,European Archetype
Kyle Filipowski,18.3486,28.6,29.3,10.7,19.0,0.561,3.0,7.7,39.1,5.0,8.0,0.625,1.3,6.3,7.7,2.3,2.3,0.3,0.7,6.0,5,,TBD
Drew Timme,14.3622,30.5,26.0,11.5,18.5,0.622,1.5,5.0,30.0,1.5,3.0,0.5,1.5,5.5,7.0,2.0,1.0,1.0,0.5,2.5,-6,,TBD
David Jones-Garcia,19.2862,24.3,24.3,9.0,15.3,0.587,4.0,6.3,63.2,2.3,2.7,0.875,1.0,4.3,5.3,4.0,4.0,1.7,0.0,2.7,17,,TBD
Quenton Jackson,19.56,25.8,24.0,8.0,10.0,0.8,1.0,1.0,100.0,7.0,7.0,1.0,0.0,0.0,0.0,3.0,2.0,2.0,0.0,4.0,-1,,TBD
Reed Sheppard,15.0964,30.6,23.0,8.0,22.0,0.364,3.5,11.0,31.8,3.5,5.0,0.7,0.0,5.5,5.5,2.5,4.5,4.0,1.5,3.0,-15,,TBD
Matas Buzelis,14.2479,28.4,22.5,6.0,14.0,0.429,2.0,6.0,33.3,8.5,10.0,0.85,0.0,5.0,5.0,1.0,4.0,1.0,1.5,4.0,-11,,TBD
Terrence Shannon Jr.,16.4524,29.8,22.0,7.0,16.5,0.424,3.5,11.5,30.4,4.5,5.0,0.9,1.0,5.5,6.5,6.0,1.5,1.5,0.0,2.0,9,,TBD
A.J. Lawson,17.3984,22.2,21.5,6.0,10.0,0.6,3.0,5.0,60.0,6.5,9.5,0.684,2.0,3.5,5.5,2.5,1.0,2.0,1.0,1.5,10,,TBD
Kevin McCullar Jr.,11.9734,27.8,21.5,7.5,14.5,0.517,1.0,5.0,20.0,5.5,6.0,0.917,2.0,3.0,5.0,2.0,4.5,1.5,0.0,5.5,-14,,TBD
Ronald Holland II,18.773,28.0,21.5,6.5,12.0,0.542,3.0,5.5,54.5,5.5,8.0,0.688,1.5,4.5,6.0,2.5,2.5,3.0,0.5,3.5,18,,TBD
Kobe Bufkin,15.6714,26.8,21.3,5.7,16.0,0.354,2.0,7.3,27.3,8.0,8.3,0.96,0.3,4.7,5.0,5.0,3.7,1.0,1.0,5.0,7,,TBD
Jordan Miller,15.8582,32.2,21.0,7.0,14.0,0.5,2.0,5.7,35.3,5.0,5.7,0.882,1.7,4.7,6.3,2.3,3.0,1.7,0.3,3.3,6,,TBD
Nae'Qwan Tomlin,17.2672,26.4,21.0,8.3,12.7,0.658,2.7,5.3,50.0,1.7,2.3,0.714,3.3,4.0,7.3,4.0,2.3,2.0,0.7,5.3,12,,TBD
Walter Clayton Jr.,15.7171,27.2,21.0,8.0,17.0,0.471,4.0,10.0,40.0,1.0,2.0,0.5,0.0,6.0,6.0,3.0,2.0,0.0,1.0,6.0,2,,TBD
Cooper Flagg,13.6728,31.4,20.5,7.5,21.0,0.357,1.5,7.0,21.4,4.0,7.0,0.571,0.0,5.0,5.0,2.5,1.5,1.5,0.5,1.5,-3,,TBD
Daniss Jenkins,18.1567,22.2,20.5,7.0,10.5,0.667,3.0,4.5,66.7,3.5,3.5,1.0,0.0,2.5,2.5,4.5,1.0,1.5,1.5,3.0,22,,TBD
Chris Livingston,14.5767,28.7,20.0,7.0,14.0,0.5,2.0,5.3,37.5,4.0,6.0,0.667,1.3,4.0,5.3,2.7,1.7,0.7,0.7,2.7,1,,TBD
Chris Youngblood,18.4703,23.9,20.0,7.0,11.0,0.636,4.0,6.5,61.5,2.0,3.0,0.667,2.0,1.5,3.5,1.5,2.0,1.5,0.0,1.5,31,,TBD
Javon Freeman-Liberty,13.9362,28.5,20.0,5.7,12.7,0.447,1.3,3.7,36.4,7.3,9.0,0.815,1.3,3.0,4.3,2.3,3.0,1.3,0.3,3.0,-5,,TBD
Cole Swider,17.0744,29.8,19.7,6.7,13.7,0.488,4.7,9.7,48.3,1.7,3.0,0.556,1.7,6.7,8.3,1.7,1.7,1.3,0.0,3.0,8,,TBD
Jaylon Tyson,15.9917,29.6,19.7,6.3,15.7,0.404,2.7,7.7,34.8,4.3,5.3,0.813,2.3,3.7,6.0,6.7,4.0,1.3,1.3,4.3,3,,TBD
Tre Johnson,14.0183,27.5,19.5,7.0,12.0,0.583,2.5,5.5,45.5,3.0,5.0,0.6,1.0,2.0,3.0,1.5,2.5,1.0,0.0,1.5,-1,,TBD
KJ Simpson,15.0224,27.9,19.3,6.7,14.7,0.455,2.7,7.3,36.4,3.3,4.3,0.769,1.0,2.7,3.7,5.3,2.7,1.7,0.0,2.3,7,,TBD
Kennedy Chandler,14.1817,28.6,19.0,6.7,16.0,0.417,1.7,4.7,35.7,4.0,6.7,0.6,1.7,1.3,3.0,4.3,2.7,2.0,0.7,3.0,-1,,TBD
Tristan da Silva,13.84,28.1,18.5,7.0,14.0,0.5,2.5,6.5,38.5,2.0,2.5,0.8,1.5,4.5,6.0,3.0,4.5,1.0,1.0,5.0,-9,,TBD
Devin Carter,16.163,24.8,18.3,6.3,13.0,0.487,2.7,5.3,50.0,3.0,4.7,0.643,0.3,4.0,4.3,2.7,2.0,2.7,0.7,2.7,13,,TBD
Nique Clifford,18.2873,25.6,18.3,6.7,11.0,0.606,2.3,3.3,70.0,2.7,4.0,0.667,1.0,5.3,6.3,3.7,3.7,1.7,0.7,4.3,11,,TBD
Adonis Arms,12.5328,26.4,18.0,5.5,11.5,0.478,1.0,5.5,18.2,6.0,8.0,0.75,0.5,4.0,4.5,4.0,1.5,2.0,1.0,1.5,5,,TBD
Caleb Love,14.8578,26.4,18.0,7.0,18.5,0.378,3.5,8.0,43.8,0.5,1.0,0.5,0.0,3.5,3.5,1.5,2.0,0.5,0.5,2.5,7,,TBD
Jaylen Wells,13.2408,25.3,18.0,5.0,13.0,0.385,2.0,6.0,33.3,6.0,6.5,0.923,1.0,4.0,5.0,3.0,2.0,1.5,0.5,4.0,-5,,TBD
Liam McNeeley,15.6296,29.1,18.0,5.5,13.5,0.407,3.0,7.0,42.9,4.0,4.5,0.889,3.0,5.5,8.5,4.0,1.5,0.5,0.0,1.5,3,,TBD
Pelle Larsson,13.0461,29.0,18.0,4.3,10.0,0.433,1.3,4.0,33.3,8.0,9.7,0.828,0.0,2.3,2.3,3.7,4.3,0.7,0.0,2.3,-4,,TBD
Cody Williams,13.5635,32.4,17.7,6.7,16.3,0.408,1.7,7.3,22.7,2.7,3.7,0.727,0.7,4.3,5.0,3.0,2.0,2.3,0.7,3.3,2,,TBD
Ryan Dunn,14.0183,25.7,17.5,6.5,10.0,0.65,2.0,4.0,50.0,2.5,3.0,0.833,2.0,3.5,5.5,2.5,1.0,1.5,0.0,2.5,-1,,TBD
Kel'el Ware,15.8662,28.9,17.3,6.7,12.7,0.526,1.7,2.7,62.5,2.3,3.7,0.636,2.3,7.7,10.0,0.7,1.0,1.3,1.7,3.3,-9,,TBD
