Player,MSR,MIN,PTS,FGM,FGA,FG%,3PTM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,Plus Minus,European Archetype
Kyle Filipowski,14.477,28.6,29.3,10.7,19,0.56,3,7.7,0.39,5,8,0.62,1.3,6.3,7.7,2.3,2.3,0.3,0.7,6,5,Euro Big 
Ajay Mitchell,13.159,27.3,20,6.3,12.3,0.51,1.3,3.7,0.36,6,7.3,0.82,1,5,6,4.3,4.7,1.7,0.7,3.3,19,Yet to be defined
Terrence Shannon Jr.,13.112,29.3,22.7,6.7,14,0.48,3.3,8.7,0.39,6,6.3,0.95,0.7,5.3,6,5,3.3,1.7,0,2.3,8,Yet to be defined
Ronald Holland II,13.097,29.6,21.7,6.3,12,0.53,2.3,5,0.47,6.7,8.7,0.77,1,5,6,2.3,4,4,0.3,4.3,10,Yet to be defined
Jordan Miller,12.818,32.9,21.5,6.8,13.8,0.49,2,6,0.33,6,7,0.86,2.3,6,8.3,2.8,3,1.3,0.3,2.5,4,Yet to be defined
Jaylon Tyson,12.546,29.6,19.7,6.3,15.7,0.4,2.7,7.7,0.35,4.3,5.3,0.81,2.3,3.7,6,6.7,4,1.3,1.3,4.3,3,Stretch Big / Rim Protector
Nae'Qwan Tomlin,12.299,26.9,20.3,8,13.8,0.58,2.3,5.5,0.41,2,2.5,0.8,5,3.5,8.5,3.8,2.3,1.8,1,5,9,Stretch Big / Rim Protector
Drew Timme,12.231,30.7,25.3,10.3,18.7,0.55,1,4.7,0.21,3.7,5.7,0.65,2.3,5.7,8,2.7,1.7,1,0.7,2.7,-4,Yet to be defined
Kobe Bufkin,11.977,26.5,19.5,5.5,15.5,0.35,1.8,6.8,0.26,6.8,7,0.96,0.3,5,5.3,4.3,3.3,1,0.8,4.8,4,Yet to be defined
David Jones-Garcia,11.962,25.4,21.3,7.8,15,0.52,3.5,7,0.5,2.3,2.5,0.9,1.5,4.8,6.3,4,3.8,1.5,0,3,8,Yet to be defined
Reed Sheppard,11.948,30.6,23,8,22,0.36,3.5,11,0.32,3.5,5,0.7,0,5.5,5.5,2.5,4.5,4,1.5,3,-15,Yet to be defined
KJ Simpson,11.803,28.9,19.3,6.5,13.8,0.47,2.5,6.8,0.37,3.8,4.8,0.79,1,3,4,5.5,2.5,1.5,0,2.5,10,Yet to be defined
Walter Clayton Jr.,11.757,27.2,21,8,17,0.47,4,10,0.4,1,2,0.5,0,6,6,3,2,0,1,6,2,Stretch Big / Rim Protector
VJ Edgecombe,11.686,30.4,15,4,14,0.29,1,6,0.17,6,6,1,0,6,6,4,2,2,1,2,10,Euro Facilitator
Kyshawn George,11.581,31.5,17,7,17,0.41,2,8.5,0.23,1,1.5,0.67,1.5,6.5,8,4.5,3.5,4,0,5,-4,Yet to be defined
Cooper Flagg,11.554,31.4,20.5,7.5,21,0.36,1.5,7,0.21,4,7,0.57,0,5,5,2.5,1.5,1.5,0.5,1.5,-3,Yet to be defined
Nique Clifford,11.53,27,18.5,7,12,0.58,2.3,4.3,0.53,2.3,3.3,0.69,1,5.5,6.5,5,3,1.3,0.5,4,10,Yet to be defined
Rob Dillingham,11.474,29.3,17.3,6.5,16.5,0.39,1.5,4.5,0.33,2.8,3,0.92,1,2.8,3.8,6.5,4.3,1.8,0,2.5,9,Yet to be defined
